year,age,area,gender,event,value
2013,35,Всего по республике,female,arrive,303
2013,35,Всего по республике,male,arrive,290
2013,36,Всего по республике,both,arrive,520
2013,36,Всего по республике,female,arrive,265
2013,36,Всего по республике,male,arrive,255
2013,37,Всего по республике,both,arrive,520
2013,37,Всего по республике,female,arrive,250
2013,37,Всего по республике,male,arrive,270
2013,38,Всего по республике,both,arrive,435
2013,38,Всего по республике,female,arrive,216
2013,38,Всего по республике,male,arrive,219
2013,39,Всего по республике,both,arrive,390
2013,39,Всего по республике,female,arrive,187
2013,39,Всего по республике,male,arrive,203
2013,40,Всего по республике,both,arrive,388
2013,40,Всего по республике,female,arrive,172
2013,40,Всего по республике,male,arrive,216
2013,41,Всего по республике,both,arrive,345
2013,41,Всего по республике,female,arrive,161
2013,41,Всего по республике,male,arrive,184
2013,42,Всего по республике,both,arrive,317
2013,42,Всего по республике,female,arrive,136
2013,42,Всего по республике,male,arrive,181
2013,43,Всего по республике,both,arrive,298
2013,43,Всего по республике,female,arrive,124
2013,43,Всего по республике,male,arrive,174
2013,44,Всего по республике,both,arrive,290
2013,44,Всего по республике,female,arrive,136
2013,44,Всего по республике,male,arrive,154
2013,45,Всего по республике,both,arrive,269
2013,45,Всего по республике,female,arrive,122
2013,45,Всего по республике,male,arrive,147
2013,46,Всего по республике,both,arrive,243
2013,46,Всего по республике,female,arrive,112
2013,46,Всего по республике,male,arrive,131
2013,47,Всего по республике,both,arrive,255
2013,47,Всего по республике,female,arrive,118
2013,47,Всего по республике,male,arrive,137
2013,48,Всего по республике,both,arrive,242
2013,48,Всего по республике,female,arrive,121
2013,48,Всего по республике,male,arrive,121
2013,49,Всего по республике,both,arrive,262
2013,49,Всего по республике,female,arrive,133
2013,49,Всего по республике,male,arrive,129
2013,50,Всего по республике,both,arrive,270
2013,50,Всего по республике,female,arrive,125
2013,50,Всего по республике,male,arrive,145
2013,51,Всего по республике,both,arrive,291
2013,51,Всего по республике,female,arrive,135
2013,51,Всего по республике,male,arrive,156
2013,52,Всего по республике,both,arrive,311
2013,52,Всего по республике,female,arrive,160
2013,52,Всего по республике,male,arrive,151
2013,53,Всего по республике,both,arrive,301
2013,53,Всего по республике,female,arrive,144
2013,53,Всего по республике,male,arrive,157
2013,54,Всего по республике,both,arrive,300
2013,54,Всего по республике,female,arrive,164
2013,54,Всего по республике,male,arrive,136
2013,55,Всего по республике,both,arrive,314
2013,55,Всего по республике,female,arrive,158
2013,55,Всего по республике,male,arrive,156
2013,56,Всего по республике,both,arrive,271
2013,56,Всего по республике,female,arrive,147
2013,56,Всего по республике,male,arrive,124
2013,57,Всего по республике,both,arrive,265
2013,57,Всего по республике,female,arrive,128
2013,57,Всего по республике,male,arrive,137
2013,58,Всего по республике,both,arrive,256
2013,58,Всего по республике,female,arrive,140
2013,58,Всего по республике,male,arrive,116
2013,59,Всего по республике,both,arrive,241
2013,59,Всего по республике,female,arrive,120
2013,59,Всего по республике,male,arrive,121
2013,60,Всего по республике,both,arrive,244
2013,60,Всего по республике,female,arrive,132
2013,60,Всего по республике,male,arrive,112
2013,61,Всего по республике,both,arrive,220
2013,61,Всего по республике,female,arrive,123
2013,61,Всего по республике,male,arrive,97
2013,62,Всего по республике,both,arrive,208
2013,62,Всего по республике,female,arrive,112
2013,62,Всего по республике,male,arrive,96
2013,63,Всего по республике,both,arrive,191
2013,63,Всего по республике,female,arrive,101
